"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"45","TGIveg",3.20697898849008,18.8071561778458,2.74039958090928,0.266734949275192,3.21217760296975,"2022-01-19","30m"
"46","Intensity",0.233454309657908,0.00366027849241389,31.4377825135491,0.222320115364285,1.18044948242222,"2022-01-19","ground"
"47","Hue",5.58080272537986,13.7546131018651,0.0520827311786998,3.84520080979135,13.6201500219616,"2022-01-19","ground"
"48","Saturation",5.48435775372416,9.37238042144545,8.47089415335055,0.73693246250875,3.13662134537713,"2022-01-19","ground"
"49","Lightness",0.280414116343597,0.0177506647225858,31.3728677077662,0.216607106183398,0.915566736190159,"2022-01-19","ground"
"50","a.",14.0068004419641,1.35705592368414,2.08751893261864,4.10001806144866,0.209586964683306,"2022-01-19","ground"
"51","b.",6.93400786594456,11.6279974329839,2.72671034793979,1.26275988338951,1.51069857594965,"2022-01-19","ground"
"52","u.",13.2682421210744,3.97770666046816,0.188887811991626,3.61567886399066,0.00555021984078585,"2022-01-19","ground"
"53","v.",4.22180052272864,8.48878324970704,12.3549671150503,0.824948857689861,0.663686774767526,"2022-01-19","ground"
"54","GA",11.534147886472,5.97877261343923,0.272318466420725,0.0219769300677853,1.28830012717342,"2022-01-19","ground"
"55","GGA",11.585972358572,4.6118865178253,0.210955439461682,2.81340173760888,0.635679780922339,"2022-01-19","ground"
"56","CSI",6.17147192199137,0.100940818147148,0.0728652031330859,54.8034236885065,0.0899242981057352,"2022-01-19","ground"
"57","NGRDI",9.48377676928795,1.71922672879141,10.097020563769,2.1268847505973,1.80030427430523,"2022-01-19","ground"
"58","NGRDIveg",8.18889824534064,5.40372518661873,0.381299618964656,12.9982728419645,3.66220463572402,"2022-01-19","ground"
"59","TGI",3.01873438984715,17.4708587098077,0.180656066641233,2.43112093251689,14.5032435476418,"2022-01-19","ground"
"60","TGIveg",0.00711857167180327,16.1146416920016,0.0931733281647374,9.9804529583717,56.7780332149351,"2022-01-19","ground"
"61","Intensity",5.65929732910294,8.88490444336627,0.696691899363896,22.5380226923509,2.6431565527416,"2022-02-14","30m"
"62","Hue",8.79264827448714,0.189524956234236,0.0766752760586744,5.05607373393089,13.0915448482234,"2022-02-14","30m"
"63","Saturation",3.94598590815882,20.1252069126359,0.00173435561734345,2.13304546307287,1.2777234804358,"2022-02-14","30m"
"64","Lightness",5.743727242165,8.00473232437381,0.332330717464779,25.3989545078131,2.67943009587408,"2022-02-14","30m"
"65","a.",8.41634603978325,0.419082099571122,11.0935611677725,2.68888960135343,1.07020169008653,"2022-02-14","30m"
"66","b.",6.8510132851121,9.02359636100186,0.00573000168865978,2.68355245021884,0.715232463246119,"2022-02-14","30m"
"67","u.",8.54934063504333,1.05587180308634,8.56970405327018,0.29925558867769,1.38132103331621,"2022-02-14","30m"
"68","v.",7.72524915195834,3.49871785445167,0.098588575464535,12.4931063525691,0.0596489957751553,"2022-02-14","30m"
"69","GA",8.75770970167865,0.175029702258923,3.52171594237578,3.54907588983774,5.31487403714433,"2022-02-14","30m"
"70","GGA",7.07233554449,0.487123365116846,20.1679335653124,6.68049670534279,22.048058465505,"2022-02-14","30m"
"71","CSI",7.15166207159743,2.29280748462038,18.7205749238909,0.371948517670172,17.8424584240932,"2022-02-14","30m"
"72","NGRDI",8.72876861710557,0.959411000933932,4.06027285244654,3.0008302634038,0.403338888745671,"2022-02-14","30m"
"73","NGRDIveg",4.82224249669512,13.2031496296344,6.43929811128109,0.427383056462981,31.3726637976556,"2022-02-14","30m"
"74","TGI",5.8720800641569,6.86894801910028,22.2470404875047,4.18203230239003,0.0288619302941003,"2022-02-14","30m"
"75","TGIveg",1.9115936384655,24.8118940436141,3.96814807048777,8.49733287490559,0.0714852968631279,"2022-02-14","30m"
"76","Intensity",6.50491799206626,0.0155149595965945,15.8555796051778,7.03582908911535,0.121801097375231,"2022-02-14","15m"
"77","Hue",8.52277489616522,0.281131281965484,3.54501236487021,2.541136736292,7.77842039450053,"2022-02-14","15m"
"78","Saturation",0.561074225060851,23.8197029418936,24.4248948716153,5.52247880925603,3.04566965858861,"2022-02-14","15m"
"79","Lightness",6.1009437482203,0.00896799076791413,18.4248299397181,6.32001942486806,0.204145498074297,"2022-02-14","15m"
"80","a.",8.15611389066544,0.00808036899552298,6.33762368892477,3.51053129827801,0.220993154840728,"2022-02-14","15m"
"81","b.",4.16682593614609,26.3227727712847,0.465085342552805,0.118566235998132,6.68498372935993,"2022-02-14","15m"
"82","u.",8.50795718299052,0.414410616479066,3.67782909036093,3.5771571627372,1.15590728461389,"2022-02-14","15m"
"83","v.",4.17061492853652,16.3436508712518,11.9964516707835,0.25384351071913,4.45116480955095,"2022-02-14","15m"
"84","GA",9.01143650944278,0.100680686235842,0.966089660895514,0.367078500669076,4.71562043630571,"2022-02-14","15m"
"85","GGA",8.7366657319941,0.327591377080139,0.000375972400973021,6.25207973899949,21.4242817058194,"2022-02-14","15m"
"86","CSI",7.99962769235253,0.136458204580513,2.82064471689954,26.5797587636142,0.608716480397373,"2022-02-14","15m"
