"","Component","eigenvalue","percentage.of.variance","cumulative.percentage.of.variance","Date","Altitude"
"186","comp 6",0.0691062717178113,0.460708478118742,99.723111347405,"2022-03-22","50m"
"187","comp 7",0.0207798222150339,0.138532148100226,99.8616434955052,"2022-03-22","50m"
"188","comp 8",0.00967908908905328,0.0645272605936886,99.9261707560989,"2022-03-22","50m"
"189","comp 9",0.00620287668728417,0.0413525112485611,99.9675232673475,"2022-03-22","50m"
"190","comp 10",0.00312671492952952,0.0208447661968635,99.9883680335443,"2022-03-22","50m"
"191","comp 11",0.00147639347806271,0.00984262318708476,99.9982106567314,"2022-03-22","50m"
"192","comp 12",0.000154672322055561,0.00103114881370374,99.9992418055451,"2022-03-22","50m"
"193","comp 13",7.28707073897665e-05,0.000485804715931777,99.9997276102611,"2022-03-22","50m"
"194","comp 14",3.69364645089491e-05,0.000246243096726328,99.9999738533578,"2022-03-22","50m"
"195","comp 15",3.92199633051667e-06,2.61466422034445e-05,100,"2022-03-22","50m"
"196","comp 1",9.84193472051345,65.6128981367563,65.6128981367563,"2022-04-05","50m"
"197","comp 2",2.3449626147685,15.6330840984567,81.245982235213,"2022-04-05","50m"
"198","comp 3",1.40817511010299,9.38783406735328,90.6338163025663,"2022-04-05","50m"
"199","comp 4",0.847491082699764,5.64994055133176,96.283756853898,"2022-04-05","50m"
"200","comp 5",0.28212005836047,1.8808003890698,98.1645572429678,"2022-04-05","50m"
"201","comp 6",0.157283736367726,1.04855824245151,99.2131154854194,"2022-04-05","50m"
"202","comp 7",0.0500899366510752,0.333932911007168,99.5470483964265,"2022-04-05","50m"
"203","comp 8",0.028243868340587,0.188292455603913,99.7353408520304,"2022-04-05","50m"
"204","comp 9",0.0172578002217834,0.115052001478556,99.850392853509,"2022-04-05","50m"
"205","comp 10",0.0112356384583899,0.0749042563892663,99.9252971098983,"2022-04-05","50m"
"206","comp 11",0.00573484433654152,0.0382322955769435,99.9635294054752,"2022-04-05","50m"
"207","comp 12",0.00307857253890501,0.0205238169260334,99.9840532224012,"2022-04-05","50m"
"208","comp 13",0.00215411645879771,0.0143607763919847,99.9984139987932,"2022-04-05","50m"
"209","comp 14",0.00017707681951824,0.0011805121301216,99.9995945109233,"2022-04-05","50m"
"210","comp 15",6.08233615003666e-05,0.00040548907666911,100,"2022-04-05","50m"
"211","comp 1",10.3465248697278,68.9768324648523,68.9768324648523,"2022-04-19","50m"
"212","comp 2",2.79755010594642,18.6503340396428,87.6271665044951,"2022-04-19","50m"
"213","comp 3",1.03592239978463,6.90614933189757,94.5333158363927,"2022-04-19","50m"
"214","comp 4",0.632181379019086,4.21454252679391,98.7478583631866,"2022-04-19","50m"
"215","comp 5",0.103725420066544,0.691502800443627,99.4393611636302,"2022-04-19","50m"
"216","comp 6",0.0470115989831192,0.313410659887461,99.7527718235177,"2022-04-19","50m"
"217","comp 7",0.0252653273333157,0.168435515555438,99.9212073390731,"2022-04-19","50m"
"218","comp 8",0.00462572487055826,0.0308381658037217,99.9520455048768,"2022-04-19","50m"
"219","comp 9",0.00437803991704933,0.0291869327803289,99.9812324376572,"2022-04-19","50m"
"220","comp 10",0.00213287774071941,0.0142191849381294,99.9954516225953,"2022-04-19","50m"
"221","comp 11",0.000355639764440008,0.00237093176293339,99.9978225543583,"2022-04-19","50m"
"222","comp 12",0.000213001822941096,0.00142001215294064,99.9992425665112,"2022-04-19","50m"
"223","comp 13",8.40694327794268e-05,0.000560462885196179,99.9998030293964,"2022-04-19","50m"
"224","comp 14",2.12114552901186e-05,0.000141409701934124,99.9999444390983,"2022-04-19","50m"
"225","comp 15",8.33413525215058e-06,5.55609016810039e-05,100,"2022-04-19","50m"
"226","comp 1",8.7511375838349,58.340917225566,58.340917225566,"2022-05-03","50m"
"227","comp 2",4.53913542637796,30.2609028425197,88.6018200680858,"2022-05-03","50m"
"228","comp 3",0.895306466457417,5.96870977638279,94.5705298444686,"2022-05-03","50m"
"229","comp 4",0.504331797921418,3.36221198614279,97.9327418306113,"2022-05-03","50m"
"230","comp 5",0.21361906527081,1.4241271018054,99.3568689324167,"2022-05-03","50m"
"231","comp 6",0.0595267786812893,0.396845191208596,99.7537141236253,"2022-05-03","50m"
"232","comp 7",0.0253256701726477,0.168837801150985,99.9225519247763,"2022-05-03","50m"
"233","comp 8",0.00717919789895198,0.0478613193263466,99.9704132441027,"2022-05-03","50m"
"234","comp 9",0.00287699165119147,0.0191799443412765,99.989593188444,"2022-05-03","50m"
"235","comp 10",0.000756969100585646,0.00504646067057098,99.9946396491145,"2022-05-03","50m"
"236","comp 11",0.000356242835772368,0.00237495223848246,99.997014601353,"2022-05-03","50m"
"237","comp 12",0.00023778177341918,0.00158521182279454,99.9985998131758,"2022-05-03","50m"
"238","comp 13",0.000110773701903178,0.000738491346021189,99.9993383045218,"2022-05-03","50m"
"239","comp 14",6.31146153808176e-05,0.000420764102538785,99.9997590686244,"2022-05-03","50m"
"240","comp 15",3.61397063464049e-05,0.0002409313756427,100,"2022-05-03","50m"
